% University Website Quality - CSE 4112 Machine Learning Laboratory, KUET
%
% 1225 university landing pages, 71 predictive attributes.
% 60 attributes are nominal {0,1} presence flags; 11 are numeric counts, percentages, ratios or z-scores.
% Identifier columns (uni_id, name, url, country, region) are excluded on purpose so no
% model can memorise a university; index_*.csv maps instance number back to the name.
% All 22 Bangladeshi universities are in the test split and none is in train.
% There are no missing values: they were imputed during dataset construction and every
% imputed column carries a companion *_was_missing flag.
%
% Relation: website_quality_train
% Instances: 981
% Target attribute: website_score (numeric, 0-100)

@relation website_quality_train

@attribute a01_logo {0,1}
@attribute a02_primary_nav {0,1}
@attribute a03_nav_item_count numeric
@attribute a04_search_bar {0,1}
@attribute a05_language_toggle {0,1}
@attribute a06_breadcrumb {0,1}
@attribute a07_qs_badge {0,1}
@attribute a09_national_rank {0,1}
@attribute a11_accreditation {0,1}
@attribute a12_accred_count numeric
@attribute a13_achievements {0,1}
@attribute a14_stats_block {0,1}
@attribute a15_stat_item_count numeric
@attribute a16_notice_board {0,1}
@attribute a17_notice_timestamp {0,1}
@attribute a20_news_events {0,1}
@attribute a21_calendar_link {0,1}
@attribute a22_admission_notice {0,1}
@attribute a23_upcoming_events {0,1}
@attribute a24_event_count numeric
@attribute a25_event_images {0,1}
@attribute a26_event_captions {0,1}
@attribute a27_event_datetime {0,1}
@attribute a28_contests {0,1}
@attribute a29_video_content {0,1}
@attribute a30_image_gallery {0,1}
@attribute a31_social_feed_embed {0,1}
@attribute a32_vision_mission {0,1}
@attribute a33_about_blurb {0,1}
@attribute a34_department_links {0,1}
@attribute a35_faculty_link {0,1}
@attribute a36_research_highlight {0,1}
@attribute a37_programs_listing {0,1}
@attribute a38_scholarship {0,1}
@attribute a39_library_link {0,1}
@attribute a40_career_link {0,1}
@attribute a41_alumni_link {0,1}
@attribute a42_faq_link {0,1}
@attribute a43_contact_link {0,1}
@attribute a44_student_portal {0,1}
@attribute a45_prospectus {0,1}
@attribute a46_admissions_policy {0,1}
@attribute a47_footer_contact {0,1}
@attribute a48_footer_sitemap {0,1}
@attribute a49_copyright_line {0,1}
@attribute a50_social_links {0,1}
@attribute a51_quick_links {0,1}
@attribute a53_contrast_ratio numeric
@attribute a53_contrast_ratio_was_missing {0,1}
@attribute a54_banner_carousel {0,1}
@attribute a57_logo_prominence {0,1}
@attribute a58_live_chat {0,1}
@attribute a59_feedback_form {0,1}
@attribute a60_trust_seal {0,1}
@attribute a61_testimonials {0,1}
@attribute a63_mobile_score numeric
@attribute a65_https {0,1}
@attribute a66_broken_links numeric
@attribute a67_gzip {0,1}
@attribute a69_title_meta {0,1}
@attribute a70_favicon {0,1}
@attribute a71_sitemap_robots {0,1}
@attribute a72_alt_text_pct numeric
@attribute a72_alt_text_pct_was_missing {0,1}
@attribute a73_accessible_design {0,1}
@attribute a74_a11y_toggle {0,1}
@attribute a75_bookmark {0,1}
@attribute broken_links_log numeric
@attribute load_time_z_region numeric
@attribute notice_recency_days numeric
@attribute notice_recency_days_was_missing {0,1}
@attribute website_score numeric

@data
1,1,11,0,0,0,0,1,1,1,1,1,6,0,1,1,1,1,1,6,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,16.67,0,1,1,0,0,0,1,90,1,0,1,1,1,0,97.9,0,1,0,0,0,0.184434,15,0,78.37
1,1,12,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,16,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,90,1,0,1,0,1,1,22.2,0,1,0,0,0,-0.452935,3,0,78.32
1,1,3,1,1,0,0,0,1,1,1,1,4,0,1,1,1,1,1,7,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,0,50,0,1,1,0,0,-0.718638,0,0,78.29
1,1,2,0,1,0,0,0,0,0,0,1,6,0,1,1,1,1,1,4,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,19.48,0,1,1,0,0,0,0,100,1,0,1,1,1,0,95.8,0,1,1,0,0,-0.635463,0,0,78.22
1,1,8,1,1,0,0,0,0,0,1,1,10,1,1,1,1,1,0,12,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,4.48,0,1,1,0,0,0,0,75,1,0,1,1,1,1,3.4,0,0,0,0,0,3.66584,1,0,78.22
1,1,6,1,0,0,0,1,0,0,1,1,2,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,15.91,0,1,1,1,0,0,1,90,1,0,1,1,1,1,91.1,0,1,0,0,0,-0.216109,195,0,78.19
1,1,7,1,1,0,0,0,0,0,1,1,10,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,12.63,0,1,1,0,0,0,0,75,1,3,1,0,1,1,93.1,0,1,1,0,1.38629,-0.502055,0,0,78.18
1,1,17,1,0,0,0,1,1,2,1,1,10,1,1,1,0,1,1,6,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,8.06,0,1,1,1,1,0,0,75,1,0,1,1,1,1,100,0,1,0,0,0,0.471252,0,0,78.13
1,1,5,1,0,0,0,0,0,0,1,1,7,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,10.44,0,1,0,1,0,1,0,90,1,0,0,0,1,1,100,0,1,1,0,0,-0.553258,4,0,78.1
0,1,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,3,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,15.43,0,1,1,0,0,1,0,75,1,0,1,0,1,1,97,0,1,1,0,0,-0.591572,0,0,78.01
1,1,9,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,12,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,12.63,0,1,0,0,0,1,1,90,1,1,1,0,1,0,44.4,0,1,1,0,0.693147,0.932894,17,0,77.95
1,1,5,0,1,0,1,1,0,0,1,1,10,0,1,1,1,1,1,7,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,17.22,0,1,1,0,1,1,0,50,1,0,1,0,0,1,96.7,0,1,0,0,0,1.03569,7,0,77.92
0,1,6,1,0,0,0,1,0,0,1,1,2,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,18.62,0,1,0,0,0,0,1,75,1,0,1,1,1,1,45.8,0,1,1,0,0,0.0158514,3650,1,77.88
1,1,0,0,1,0,0,1,1,1,1,1,10,0,1,1,1,1,1,17,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,8.47,0,1,1,0,0,1,0,75,1,0,1,0,1,0,72.7,0,1,1,0,0,0.758386,0,0,77.82
1,1,20,1,0,0,0,1,0,0,1,1,7,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,20.86,0,1,1,0,0,0,0,75,1,39,0,1,1,0,60.6,0,1,1,0,3.68888,-1.02731,8,0,77.79
1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,15.43,0,1,1,0,0,0,0,75,1,3,1,0,1,1,61.1,0,1,0,0,1.38629,0.118831,4,0,77.79
1,1,4,1,1,0,0,1,1,1,1,1,10,0,1,1,1,1,1,2,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,6.58,0,1,1,0,0,0,0,90,1,0,1,0,1,0,81.8,0,1,1,0,0,-0.168424,0,0,77.78
1,1,11,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,21,0,1,0,1,0,0,0,75,1,0,1,0,1,0,40.9,0,1,0,0,0,-0.54652,3650,1,77.77
0,1,4,1,0,0,0,1,1,1,1,1,10,0,1,1,0,1,1,8,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,12.63,0,1,0,0,0,0,1,100,1,0,1,1,1,1,66.7,0,1,0,0,0,1.07328,0,0,77.68
1,1,6,1,1,0,0,1,1,1,1,1,5,1,1,1,1,1,1,20,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,11.2,0,1,1,0,0,0,0,75,1,1,1,1,1,1,100,0,1,0,0,0.693147,-0.286245,0,0,77.63
1,1,3,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,20,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,21,0,1,0,0,0,0,0,75,1,0,1,0,1,0,92.1,0,1,0,0,0,-0.00670468,21,0,77.63
1,1,9,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,8.86,0,1,1,0,0,0,0,75,1,0,1,1,1,0,22.2,0,1,1,0,0,0.244802,0,0,77.63
1,1,6,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,21,0,1,0,0,0,0,0,100,1,0,1,0,1,1,59.1,0,1,1,0,0,-1.62289,3650,1,77.58
1,1,4,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,4,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,8.45,0,1,1,1,0,0,0,75,1,0,1,1,1,1,100,0,1,1,0,0,-0.00625234,3650,1,77.49
1,1,6,0,0,0,0,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,15.52,0,1,1,0,0,0,1,90,1,0,1,1,1,1,62.5,0,1,1,0,0,-0.598326,3650,1,77.48
1,1,6,1,0,0,0,1,1,1,1,1,2,0,1,1,1,1,1,7,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,19.8,0,1,1,0,0,0,0,75,1,0,1,1,0,1,42.4,0,1,1,0,0,3.76454,1,0,77.47
1,1,5,1,1,0,0,1,0,0,1,1,3,1,1,1,1,1,1,8,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,12.63,0,1,1,0,0,1,0,75,1,0,1,1,1,1,73.5,0,1,1,0,0,0.560021,0,0,77.47
1,1,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,16.58,0,1,1,1,1,0,1,100,1,0,1,1,1,1,87.5,0,1,1,0,0,0.569939,3650,1,77.41
1,1,1,1,0,1,0,1,0,0,1,1,10,0,1,1,1,1,1,15,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,3.21,0,1,1,0,0,0,1,100,1,0,1,1,0,1,88.7,0,1,1,0,0,-0.485422,0,0,77.36
1,1,5,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,10.05,0,1,1,0,0,0,0,100,1,0,1,1,1,1,95.5,0,1,0,0,0,-0.552657,3650,1,77.25
1,1,5,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,11.73,0,1,1,1,0,0,1,90,1,2,1,1,1,0,2.6,0,1,0,0,1.09861,-0.118306,0,0,77.21
0,1,7,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,18,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,21,0,1,0,0,0,0,0,100,1,0,1,1,1,1,72,0,1,1,0,0,-0.296696,0,0,77.2
1,1,8,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,21,0,1,0,1,0,1,1,90,1,0,1,1,1,1,55.9,0,1,1,0,0,0.346133,3650,1,77.11
1,1,0,1,0,1,0,0,1,1,1,1,10,1,1,1,1,1,1,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,17.31,0,1,1,0,0,0,0,100,1,0,0,1,1,0,93.9,0,1,1,0,0,0.134739,95,0,77.09
1,1,1,1,0,0,0,0,1,1,1,1,2,0,1,1,1,1,1,12,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,15.43,0,0,1,0,0,0,0,100,1,4,1,1,1,1,100,0,1,1,0,1.60944,1.40898,0,0,77.05
1,1,7,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,3,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1.11,0,1,1,0,0,0,0,75,1,2,1,0,0,1,16,0,1,0,0,1.09861,0.0316586,3650,1,77.03
1,1,6,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,6,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,18.1,0,1,1,0,0,0,0,75,1,0,0,1,1,0,87.5,0,1,1,0,0,-1.15282,55,0,77.01
1,1,1,1,1,1,0,1,1,0,1,1,4,0,1,1,1,1,1,7,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,7.12,0,0,1,0,0,0,0,75,1,0,1,1,1,0,75,0,1,1,0,0,0.143663,0,0,76.97
1,1,10,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,9.28,0,1,1,0,0,0,0,100,1,0,1,1,1,1,100,0,1,1,0,0,-1.71455,1,0,76.89
1,1,7,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,9.59,0,1,1,0,0,0,1,100,1,0,1,1,1,1,98,0,1,1,0,0,0.914724,3650,1,76.88
1,1,5,1,1,1,0,1,0,0,0,1,2,0,1,1,0,1,1,7,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,14.67,0,1,0,0,0,0,0,100,1,0,0,0,1,0,63.2,0,1,0,0,0,1.43323,0,0,76.86
1,1,5,1,0,1,0,1,1,1,1,1,3,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,16.81,0,1,0,0,0,0,0,90,1,0,1,1,1,1,83.3,0,1,1,1,0,0.17688,3650,1,76.85
0,1,1,1,0,0,0,1,1,1,1,1,10,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,21,0,1,0,0,0,0,0,75,1,0,1,1,1,1,86.4,0,1,1,0,0,1.75319,4,0,76.83
1,1,8,0,0,0,0,0,0,0,1,1,8,0,1,1,1,0,0,7,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,18.42,0,1,1,1,0,0,0,75,1,0,1,0,1,0,97.4,0,1,1,0,0,0.837026,1,0,76.82
1,1,1,1,0,0,0,1,0,0,1,1,7,1,1,1,0,1,1,11,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,12.63,0,1,1,0,0,0,1,75,1,1,1,1,1,1,79.2,0,1,1,0,0.693147,1.31089,34,0,76.79
1,1,6,1,0,0,0,0,1,0,0,1,10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,15.43,0,1,1,0,0,1,0,85,1,0,1,1,1,0,43.6,0,1,0,0,0,0.00493916,0,0,76.72
1,1,7,1,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,21,0,1,1,0,0,0,0,100,1,0,0,0,1,1,83.3,0,1,0,0,0,-0.711863,13,0,76.72
1,1,5,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,100,1,1,1,1,1,1,65.9,0,1,1,0,0.693147,2.22055,3650,1,76.71
1,1,7,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,14.74,0,1,0,0,0,1,0,75,1,0,1,1,1,0,100,0,1,0,0,0,0.587665,2,0,76.57
1,1,2,1,0,1,0,1,0,0,0,1,10,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,15.91,0,1,1,0,0,0,0,90,1,0,1,1,1,1,60,0,1,0,0,0,0.0308299,41,0,76.56
1,1,4,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,5.47,0,1,1,0,0,0,0,90,1,1,0,1,1,1,0,0,1,0,0,0.693147,0.410653,22,0,76.52
1,1,4,0,0,0,0,1,0,0,1,1,10,1,1,1,1,1,1,20,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,13.77,0,1,1,0,0,0,0,75,1,0,0,0,1,1,97.7,0,1,1,0,0,2.07904,4,0,76.45
1,1,7,0,0,0,0,0,1,1,1,1,10,0,1,1,0,1,1,8,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,16.79,0,1,0,0,0,0,0,90,1,0,1,1,1,1,100,0,1,0,0,0,-1.54044,9,0,76.44
1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,21,0,1,1,0,0,1,1,100,1,0,1,0,1,1,91.7,0,1,1,0,0,0.370878,3650,1,76.4
1,1,5,1,1,0,0,1,1,3,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,15.91,0,1,0,0,0,1,1,75,1,0,1,1,1,1,95.8,0,1,0,0,0,0.757652,3650,1,76.4
1,1,5,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,19.59,0,1,1,1,0,0,0,90,1,0,1,1,1,1,11.8,0,1,1,0,0,-1.05813,1,0,76.39
1,1,5,1,0,0,0,0,0,0,0,1,4,0,1,1,1,1,1,4,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,1,91.7,0,1,1,0,0,-0.0804169,0,0,76.33
1,1,3,1,0,0,0,1,0,0,0,1,5,1,0,1,1,1,1,20,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,21,0,1,1,0,0,0,0,100,1,0,1,1,1,1,53.3,0,1,0,0,0,-1.1413,3650,1,76.3
1,1,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,12.1,0,1,1,0,0,0,0,75,1,0,0,1,1,0,96.7,0,1,1,0,0,-0.887696,39,0,76.29
1,1,6,1,0,0,0,0,0,0,0,1,4,0,1,1,1,0,1,4,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,6.13,0,1,0,0,0,0,1,75,1,0,1,1,0,1,100,0,1,1,0,0,-1.20968,0,0,76.19
1,1,7,1,0,1,0,1,1,1,1,1,10,1,1,1,0,1,1,2,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,21,0,0,1,0,0,1,0,90,1,0,1,1,1,1,95.7,0,1,1,0,0,-0.841029,3,0,76.18
1,1,4,1,0,1,0,1,0,0,1,1,8,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,21,0,1,1,1,0,0,1,100,1,0,1,1,1,0,89.7,0,1,1,0,0,-0.306225,3650,1,76.17
1,1,5,1,1,0,0,0,0,0,1,1,8,1,1,1,0,1,1,5,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,13.02,0,1,1,1,0,0,0,90,1,1,1,1,1,0,95.5,0,1,1,0,0.693147,-0.519586,138,0,76.16
1,1,2,1,0,0,0,1,0,0,1,1,2,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,21,0,1,0,0,0,0,1,75,1,0,1,1,1,1,100,0,1,1,0,0,0.0116149,3650,1,76.15
1,1,7,1,0,0,1,1,0,0,1,1,2,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,21,0,1,1,0,0,0,1,100,1,0,0,1,1,1,63,0,1,1,0,0,0.373545,3650,1,76.13
1,1,10,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,12.63,0,1,1,0,0,1,0,75,1,0,0,1,1,0,40,0,1,0,0,0,2.82124,8,0,76.12
1,1,11,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,15.43,0,1,0,0,0,0,0,75,1,0,1,0,1,0,2.9,0,1,0,0,0,-0.798537,0,0,76.11
0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,15.28,0,1,0,0,0,0,0,90,1,0,1,1,1,1,100,0,1,1,0,0,-1.24985,3650,1,76.11
1,1,1,0,1,0,0,1,1,1,1,1,7,1,1,1,1,1,0,8,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,12.02,0,1,1,1,0,0,0,75,1,0,1,0,1,0,80.9,0,1,1,0,0,1.92205,11,0,76.1
1,1,1,0,1,1,0,1,1,0,0,1,5,1,1,1,0,1,1,5,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,11.65,0,1,1,0,0,0,0,75,1,0,1,0,1,1,25,0,1,0,0,0,-0.381574,0,0,76.1
1,1,9,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,21,0,1,1,0,0,0,0,90,1,0,1,1,1,1,90.9,0,1,0,0,0,-0.472042,3650,1,76
1,1,4,1,1,0,0,0,1,0,1,1,10,0,1,1,1,1,1,3,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,15.91,0,1,1,0,0,0,0,75,1,1,1,0,0,1,22.6,0,1,0,0,0.693147,1.25258,0,0,76
1,1,9,1,1,0,0,0,1,1,1,1,6,1,1,1,0,1,1,6,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,21,0,1,1,0,0,1,0,100,1,0,1,0,1,0,87.1,0,1,1,0,0,-0.829699,0,0,75.99
1,1,20,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,10.37,0,1,0,0,0,0,0,75,1,0,1,1,1,1,14.3,0,1,0,0,0,0.991414,3650,1,75.98
1,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,16.3,0,1,1,0,0,0,0,90,1,0,1,1,1,0,16.1,0,1,1,0,0,-1.28932,3650,1,75.97
0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,21,0,1,0,0,0,0,0,100,1,0,1,1,1,0,63.6,0,1,1,0,0,0.613854,4,0,75.84
0,1,8,1,0,0,0,1,0,0,1,1,10,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,9.44,0,1,0,0,0,0,0,75,1,0,0,0,1,1,92.4,0,1,0,0,0,0.547306,0,0,75.83
1,1,1,1,1,0,0,0,0,0,0,1,6,1,1,1,0,1,1,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,16.39,0,1,1,0,0,0,0,75,1,0,1,0,1,0,92.3,0,1,0,0,0,-0.0509513,0,0,75.82
1,1,8,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,17.04,0,1,1,0,0,0,0,90,1,0,0,1,1,1,97.3,0,1,1,0,0,1.08508,3650,1,75.78
1,1,10,1,1,0,0,0,0,0,0,1,10,0,1,1,1,1,0,20,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,8.72,0,1,1,0,0,0,0,90,1,0,1,0,1,0,59.3,0,1,1,0,0,1.49798,0,0,75.73
1,1,5,1,1,1,0,1,0,0,1,1,10,0,1,1,1,1,1,4,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,17.64,0,1,1,0,0,1,0,75,1,0,1,1,1,0,100,0,1,1,1,0,-0.448017,0,0,75.72
